"Tuberculosis incidence (per 100,000 people)",,,,,,,,,,,,,,,,,,,,
105,Tonga,28,,20,,12,,9.9,,12,,11,,14,,15,,8.6,,12
63,Trinidad and Tobago,18,,15,,19,,19,,23,,21,,21,,17,,18,,17
91,Tunisia,26,,26,,28,,35,,37,,34,,35,,38,,38,,34
59,Turkey,33,,33,,25,,24,,22,,20,,20,,18,,18,,17
108,Turkmenistan,112,,84,,79,,66,,70,,71,,58,,49,,46,,43
..,Tuvalu,195,,138,,153,,130,,204,,191,,158,,209,,207,,236
159,Uganda,276,,233,,210,,207,,205,,203,,202,,202,,201,,201
88,Ukraine,114,,127,,110,,105,,101,,96,,94,,91,,87,,84
35,United Arab Emirates,4.2,,2.6,,1.8,,1.4,,1,,1,,0.8,,0.8,,0.8,,0.8
15,United Kingdom,12,,15,,14,,15,,14,,13,,11,,10,,9.9,,8.9
15,United States,6.7,,5.5,,4.2,,3.9,,3.7,,3.3,,3.2,,3.3,,3.1,,3.1
57,Uruguay,22,,22,,24,,28,,27,,30,,29,,30,,29,,31
108,Uzbekistan,99,,120,,97,,93,,89,,86,,82,,79,,76,,73
141,Vanuatu,110,,83,,69,,67,,65,,62,,63,,63,,56,,51
96,Venezuela (Bolivarian Republic of),33,,32,,28,,27,,27,,27,,26,,29,,32,,42
118,Viet Nam,197,,176,,155,,151,,147,,144,,140,,137,,133,,129
177,Yemen,116,,80,,52,,50,,48,,48,,48,,48,,48,,48
143,Zambia,759,,602,,495,,475,,456,,437,,406,,391,,376,,361
150,Zimbabwe,605,,588,,416,,384,,355,,304,,278,,242,,233,,221
18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Human Development, ,,..,,..,,..,,..,,..,,..,,..,,..,,..
 ,Very high human development,32.9,,30.2,,26.8,,26.1,,24.9,,23.7,,22.8,,21.7,,21.2,,20.1
 ,High human development,144,,138.5,,127.5,,126.3,,124.4,,121.3,,119.4,,116.9,,112.9,,111.3
 ,Medium human development,279.1,,274.2,,247.7,,242.5,,236.5,,231.1,,226,,220.5,,215.1,,209.3
 ,Low human development,276.9,,255.4,,230.6,,224.6,,220.1,,214,,210.2,,205.5,,201.2,,197.2
 ,Developing Countries,203.8,,198.3,,181.5,,178.6,,175.1,,171.1,,168,,164.3,,160.1,,156.9
,Regions, ,,..,,..,,..,,..,,..,,..,,..,,..,,..
 ,Arab States,67.6,,60.5,,56,,54.4,,53.7,,52,,51.2,,50.9,,49.6,,48
 ,East Asia and the Pacific,184.7,,169.5,,155.2,,154.2,,152.6,,149.9,,148.3,,146.4,,144.8,,143.6
 ,Europe and Central Asia,93.3,,94,,76.1,,73.2,,68.2,,64.4,,60.9,,57.2,,54.4,,52.1
 ,Latin America and the Caribbean,53.9,,48.4,,42.7,,43.1,,42.4,,42,,41.2,,40.9,,41.2,,42.3
 ,South Asia,263.2,,256,,233.4,,229.1,,224.1,,219.7,,215.5,,211.3,,206.7,,201.6
 ,Sub-Saharan Africa,343.8,,356.7,,321.2,,309.8,,300.1,,288.3,,279.8,,268.1,,252.9,,243.9
 ,Least Developed Countries,298.7,,280,,255.9,,249.4,,244.4,,237.9,,232.8,,227.4,,222.2,,217.4
 ,Small Island Developing States,129.6,,138.2,,131.8,,131.5,,132,,131.8,,130.7,,130.6,,130.2,,128.1
 ,Organization for Economic Co-operation and Development,18.7,,17.4,,15.4,,15.3,,14.6,,13.9,,13.5,,12.9,,12.9,,12.3
 ,World,170.6,,167,,153.8,,151.5,,148.6,,145.3,,142.8,,139.7,,136.3,,133.6
